Titel;Author                   ;My Rating ;Average Rating ;Bookshelves       ;Serie;Serien Nr.;ISBN Combined;Book Id  ;Publisher                                   ;Binding               ;Number of Pages ;Year Published ;Original Publication Year ;Date Read  ;Date Added ;My Review                                                                                                                                                                                                                                                                                                            ;Private Notes ;Read Count ;PublishedDate ;PageCount ;Categories                              ;Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;ImageURL
Fettlogik überwinden ;Nadja  Hermann           ;4;          4.15 ;read;;;3548376517;25466761;                                            ;Kindle Edition        ;300;2015;2016;           ;20.10.2019;                                                                                                                                                                                                                                                                                                                     ;              ;1;12.02.2016;288;                                        ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;http://books.google.com/books/content?id=uPwOjwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
Das kalte Reich des Silbers ;Naomi Novik              ;2;          4.21 ;read;;;9783641235604;42599001;                                            ;Kindle Edition        ;577;2019;2018;20.10.2019;24.05.2019;                                                                                                                                                                                                                                                                                                                     ;              ;1;              ;          ;                                        ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
Victory of Eagles ;Naomi Novik              ;3;          4.07 ;read;Temeraire;5;9780007256754;891593;                                            ;Paperback             ;352;2008;2008;           ;08.01.2017;                                                                                                                                                                                                                                                                                                                     ;              ;1;              ;          ;                                        ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
His Majesty's Dragon ;Naomi Novik              ;3;          4.06 ;read;Temeraire;1;9780345481283;28876;Del Rey                                     ;Mass Market Paperback ;374;2006;2006;           ;16.10.2016;                                                                                                                                                                                                                                                                                                                     ;              ;1;28.03.2006;386;Fiction                                 ;In the first novel of the New York Times bestselling Temeraire series, a rare bond is formed between a young man and a dragon, and together they must battle in the Napoleonic Wars. â€œA terrifically entertaining fantasy novel.â€â€”Stephen King Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britainâ€™s defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons. When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain futureâ€“and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as Franceâ€™s own dragon-borne forces rally to breach British soil in Bonaparteâ€™s boldest gambit, Laurence and Temeraire must soar into their own baptism of fire. â€œJust when you think youâ€™ve seen every variation possible on the dragon story, along comes Naomi Novik. . . . Her wonderful Temeraire is a dragon for the ages.â€â€”Terry Brooks Donâ€™t miss any of Naomi Novikâ€™s magical Temeraire series HIS MAJESTYâ€™S DRAGON â€¢ THRONE OF JADE â€¢ BLACK POWDER WAR â€¢ EMPIRE OF IVORY â€¢ VICTORY OF EAGLES â€¢ TONGUES OF SERPENTS â€¢ CRUCIBLE OF GOLD â€¢ BLOOD OF TYRANTS â€¢ LEAGUE OF DRAGONS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;http://books.google.com/books/content?id=ccWmlymJEq0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
A Deadly Education ;Naomi Novik              ;0;          3.99 ;to-read           ;The Scholomance;1;9780593128480;50548197;Random House                                ;Hardcover             ;336;2020;2020;           ;22.07.2021;                                                                                                                                                                                                                                                                                                                     ;              ;0;29.09.2020;287;Fiction                                 ;____________ The Sunday Times bestseller! FINALIST FOR THE LODESTAR AWARD In the start of an all-new trilogy, the bestselling author of Uprooted and Spinning Silver introduces you to a dangerous school for the magically gifted where failure means certain death -- until one girl begins to rewrite its rules. ____________ Enter a school of magic unlike any you have ever encountered. There are no teachers, no holidays, friendships are purely strategic, and the odds of survival are never equal. Once you're inside, there are only two ways out: you graduate or you die. El Higgins is uniquely prepared for the school's many dangers. She may be without allies, but she possesses a dark power strong enough to level mountains and wipe out untold millions - never mind easily destroy the countless monsters that prowl the school. Except, she might accidentally kill all the other students, too. So El is trying her hardest not to use it . . . that is, unless she has no other choice. With flawless mastery, Naomi Novik creates a heroine for the ages - a character so sharply realized and so richly nuanced that she will live on in hearts and minds for generations to come. ____________ 'Hilarious and wild! Take any fictional magic school, make it as over-the-top dangerous as possible, and populate it with a bunch of snarky teenagers;
Blood of Tyrants ;Naomi Novik              ;2;          3.99 ;read;Temeraire;8;9780345522894;16156292;                                            ;Hardcover             ;432;2013;2013;           ;08.01.2017;                                                                                                                                                                                                                                                                                                                     ;              ;1;              ;          ;                                        ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
Empire of Ivory ;Naomi Novik              ;3;          3.98 ;read;Temeraire;4;9780345496874;129510;                                            ;Mass Market Paperback ;416;2007;2007;           ;08.01.2017;                                                                                                                                                                                                                                                                                                                     ;              ;1;              ;          ;                                        ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
Crucible of Gold ;Naomi Novik              ;3;          3.97 ;read;Temeraire;7;9780345522863;12069434;                                            ;Hardcover             ;325;2012;2012;           ;08.01.2017;                                                                                                                                                                                                                                                                                                                     ;              ;1;              ;          ;                                        ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
Black Powder War ;Naomi Novik              ;2;          3.9  ;read;Temeraire;3;9780345481306;91989;Subterranean Press                          ;Mass Market Paperback ;365;2006;2006;           ;08.01.2017;                                                                                                                                                                                                                                                                                                                     ;              ;1;03.02.2009;279;Fiction                                 ;Limited to 500 signed numbered illustrated copies.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;http://books.google.com/books/content?id=OK-cNwAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
Throne of Jade ;Naomi Novik              ;3;          3.89 ;read;Temeraire;2;9780345481290;14069;Del Rey                                     ;Mass Market Paperback ;398;2006;2006;           ;08.01.2017;                                                                                                                                                                                                                                                                                                                     ;              ;1;25.04.2006;434;Fiction                                 ;In the second novel of the New York Times bestselling Temeraire series, the Napoleonic Wars take Captain Will Laurence and his dragon to China on a perilous mission. â€œFull of wonderful characters with real heart.â€â€”Peter Jackson When Britain intercepted a French ship and its precious cargoâ€”an unhatched dragon's eggâ€”Captain Will Laurence of HMS Reliant unexpectedly became master and commander of the noble dragon he named Temeraire. As new recruits in Britainâ€™s Aerial Corps, man and dragon soon proved their mettle in daring combat against Napoleon Bonaparteâ€™s invading forces. Now China has discovered that its rare gift, intended for Napoleon, has fallen into British handsâ€”and an angry Chinese delegation vows to reclaim the remarkable beast. A reluctant Laurence has no choice but to take Temeraire back to Chinaâ€”a long voyage fraught with peril, intrigue, and the untold terrors of the deep. Yet once the pair reaches the court of the Chinese emperor, even more shocking discoveries and darker dangers await. â€œReaders with a penchant for both Patrick Oâ€™Brian and Anne McCaffrey may have found their perfect match. Naomi Novik beautifully renders an 1800s Europe in which naval buffs and dragon lovers will be keen to immerse themselves.â€â€”Alan Dean Foster, author of the Pip & Flinx series Donâ€™t miss any of Naomi Novikâ€™s magical Temeraire series HIS MAJESTYâ€™S DRAGON â€¢ THRONE OF JADE â€¢ BLACK POWDER WAR â€¢ EMPIRE OF IVORY â€¢ VICTORY OF EAGLES â€¢ TONGUES OF SERPENTS â€¢ CRUCIBLE OF GOLD â€¢ BLOOD OF TYRANTS â€¢ LEAGUE OF DRAGONS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;http://books.google.com/books/content?id=jIqTj8wO9TAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
Tongues of Serpents ;Naomi Novik              ;2;          3.75 ;read;Temeraire;6;9780345496898;7038489;                                            ;Hardcover             ;274;2010;2010;           ;08.01.2017;                                                                                                                                                                                                                                                                                                                     ;              ;1;              ;          ;                                        ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
Thunderhead ;Neal Shusterman          ;3;          4.41 ;read;Scythe;2;9781442472457;33555224;Simon and Schuster                          ;Hardcover             ;504;2018;2018;21.02.2020;09.02.2020;Nett                                                                                                                                                                                                                                                                                                                 ;              ;2;09.01.2018;512;Young Adult Fiction                     ;â€œIntelligent and entertaining.â€ â€”Kirkus Reviews (starred review) â€œEven better than the first book.â€ â€”School Library Journal (starred review) Rowan and Citra take opposite stances on the morality of the Scythedom, putting them at odds, in the chilling sequel to the Printz Honor Book Scythe from New York Times bestseller Neal Shusterman, author of the Unwind dystology. Humans learn from their mistakes. I cannot. I make no mistakes. The Thunderhead is the perfect ruler of a perfect world, but it has no control over the scythedom. A year has passed since Rowan had gone off grid. Since then, he has become an urban legend, a vigilante snuffing out corrupt scythes in a trial by fire. His story is told in whispers across the continent. As Scythe Anastasia, Citra gleans with compassion and openly challenges the ideals of the â€œnew order.â€ But when her life is threatened and her methods questioned, it becomes clear that not everyone is open to the change. Old foes and new enemies converge, and as corruption within the Scythedom spreads, Rowan and Citra begin to lose hope. Will the Thunderhead intervene? Or will it simply watch as this perfect world begins to unravel?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;http://books.google.com/books/content?id=iZt4CgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
